City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,hobyo,5.3505,48.5268,24.62,81,59,11.08,SO,1723150662
266,puerto deseado,-47.7503,-65.8938,8.33,56,100,6.0,AR,1723150663
267,sikandra,26.3667,79.65,26.53,89,95,2.38,IN,1723150664
268,strathalbyn,-35.2667,138.9,9.36,99,100,1.79,AU,1723150666
269,sao jose da coroa grande,-8.8978,-35.1478,24.11,75,28,4.77,BR,1723150667
270,queenstown,-31.8976,26.8753,12.26,16,0,4.22,ZA,1723150668
271,verdal,63.7933,11.4817,13.83,92,82,3.83,NO,1723150669
272,la ronge,55.1001,-105.2842,22.12,28,40,2.57,CA,1723150671
273,kichha,28.9167,79.5,25.54,91,92,3.05,IN,1723150673
274,baghlan,35.75,69.0,20.71,19,0,2.28,AF,1723150675
275,pedernales,18.0384,-71.744,30.36,69,98,1.3,DO,1723150676
276,sarvar,47.2539,16.9352,18.78,90,93,4.14,HU,1723150677
277,coquimbo,-29.9533,-71.3436,16.66,48,0,4.12,CL,1723150680
278,villanueva,15.3167,-88.0,28.55,84,75,3.6,HN,1723150681
279,kiraz,38.2306,28.2044,24.93,45,0,2.66,TR,1723150682
280,aitape,-3.1374,142.3475,24.87,88,2,2.25,PG,1723150684
281,carutapera,-1.195,-46.02,27.01,75,3,4.24,BR,1723150685
282,nizhnesortymskiy,62.4397,71.7603,10.94,73,100,3.74,RU,1723150688
283,bodo,67.28,14.405,16.64,94,75,2.68,NO,1723150689
284,valparaiso,-33.0393,-71.6273,19.13,45,0,7.72,CL,1723150690
285,fort-shevchenko,44.5086,50.263,27.28,68,7,5.37,KZ,1723150691
286,arraial do cabo,-22.9661,-42.0278,27.98,73,0,4.63,BR,1723150693
287,arawa,-6.2132,155.5367,25.44,94,100,1.21,PG,1723150695
288,ilulissat,69.2167,-51.1,4.57,84,89,1.91,GL,1723150630
289,mabaruma,8.2,-59.7833,28.59,73,6,2.34,GY,1723150698
290,pisco,-13.7,-76.2167,19.03,68,0,4.63,PE,1723150699
291,magadan,59.5667,150.8,12.99,89,99,1.58,RU,1723150700
292,bam,29.106,58.357,33.7,6,2,3.23,IR,1723150702
293,horta,38.5333,-28.6333,24.8,77,20,1.03,PT,1723150703
294,tabou,4.423,-7.3528,23.82,78,100,2.84,CI,1723150704
295,zouerate,22.7187,-12.4521,37.97,13,3,6.4,MR,1723150706
296,laguna,38.421,-121.4238,32.1,39,0,3.6,US,1723150707
297,khorixas,-20.3667,14.9667,16.93,33,0,1.29,NA,1723150709
298,dampit,-8.2116,112.7493,20.02,95,39,1.69,ID,1723150710
299,talagutong,6.2644,125.6678,27.11,74,96,1.06,PH,1723150711
300,green river,41.5286,-109.4662,30.55,28,87,2.24,US,1723150713
301,rabo de peixe,37.8,-25.5833,22.73,73,20,3.6,PT,1723150714
302,usinsk,65.9939,57.5281,10.16,72,0,3.81,RU,1723150715
303,opuwo,-18.0607,13.84,18.25,28,1,1.73,NA,1723150717
304,iwon-up,40.3231,128.6553,22.31,80,0,2.69,KP,1723150718
305,dul'durga,50.6761,113.5931,13.77,83,85,1.78,RU,1723150719
306,kuraymah,18.55,31.85,33.5,43,27,3.44,SD,1723150721
307,watseka,40.7762,-87.7364,27.2,66,6,4.24,US,1723150466
308,ust'-ilimsk,58.0006,102.6619,13.34,97,30,2.62,RU,1723150723
309,thinadhoo,0.5333,72.9333,27.62,72,100,2.95,MV,1723150725
310,pochinki,54.6988,44.8668,17.21,91,100,0.64,RU,1723150726
311,oral,51.2333,51.3667,19.99,68,20,3.0,KZ,1723150727
312,ndele,8.4109,20.6473,20.91,95,100,1.0,CF,1723150729
313,comiso,36.9513,14.6102,26.1,41,49,2.06,IT,1723150730
314,port alfred,-33.5906,26.891,13.99,95,22,0.89,ZA,1723150731
315,palmas,-10.2128,-48.3603,32.93,29,0,2.06,BR,1723150537
316,port blair,11.6667,92.75,26.02,94,40,1.03,IN,1723150734
317,san sebastian de la gomera,28.0916,-17.1133,23.2,88,20,2.57,ES,1723150735
318,korsakov,46.6328,142.7813,18.81,98,98,1.26,RU,1723150736
319,manavalakurichi,8.1333,77.3,25.22,84,99,5.88,IN,1723150738
320,bakanas,44.8081,76.2772,29.16,24,0,3.44,KZ,1723150739
321,laishevo,55.4046,49.5504,18.3,84,95,4.67,RU,1723150740
322,beyneu,45.3167,55.2,26.38,53,0,4.87,KZ,1723150741
323,hamilton,39.1834,-84.5333,30.69,63,100,3.6,US,1723150518
324,hadibu,12.65,54.0333,25.25,80,23,7.87,YE,1723150744
325,dison,50.6096,5.8542,18.69,77,64,0.89,BE,1723150746
326,undurkhaan,47.3194,110.6556,15.18,86,100,2.95,MN,1723150747
327,nizhneangarsk,55.7833,109.55,11.13,86,66,1.2,RU,1723150748
